,winner,loser,weight class,method,win_round,win time,winner age,loser age,winner_wins,winner loses,loser wins,loser loses,winner height,loser height,winner reach,loser reach,winner leg reach,loser leg reach,Event name,date
1058,Damir Ismagulov,Thiago Moisés,Lightweight,"Decision (unanimous) (30–26, 30–27, 30–27)",3,5:00,28,23,18,1,12,3,70.00,69.00,74.00,70.50,40.00,39.00,UFC Fight Night: Andrade vs. Zhang,"August 31, 2019"
1059,Alateng Heili,Danaa Batgerel,Bantamweight,"Decision (unanimous) (29–27, 29–27, 29–27)",3,5:00,-3,29,12,7,9,1,0,67.00,0,70.00,0,36.50,UFC Fight Night: Andrade vs. Zhang,"August 31, 2019"
1060,Karol Rosa,Lara Procópio,Women's Bantamweight,"Decision (split) (28–29, 30–27, 29–28)",3,5:00,24,23,11,3,6,0,65.00,64.00,67.50,67.50,36.00,37.00,UFC Fight Night: Andrade vs. Zhang,"August 31, 2019"
1061,Nate Diaz,Anthony Pettis,Welterweight,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00,33,32,19,11,22,8,73.00,70.00,76.00,72.50,38.00,40.00,UFC 241,"August 17, 2019"
1062,Sodiq Yusuff,Gabriel Benítez,Featherweight,TKO (punches),1,4:14,25,30,9,1,21,6,69.00,68.00,71.00,71.00,40.00,40.50,UFC 241,"August 17, 2019"
1063,Derek Brunson,Ian Heinisch,Middleweight,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,35,30,19,7,13,1,73.00,71.00,77.00,72.00,43.00,41.00,UFC 241,"August 17, 2019"
1064,Khama Worthy,Devonte Smith,Lightweight,TKO (punches),1,4:15,32,25,14,6,10,1,71.00,69.00,74.00,76.00,41.00,41.00,UFC 241,"August 17, 2019"
1065,Cory Sandhagen,Raphael Assunção,Bantamweight,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00,26,36,11,1,27,6,71.00,65.50,70.00,66.50,40.00,38.50,UFC 241,"August 17, 2019"
1066,Drakkar Klose,Christos Giagos,Lightweight,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,31,29,10,1,17,7,69.00,70.00,70.00,71.50,39.00,40.00,UFC 241,"August 17, 2019"
1067,Casey Kenney,Manny Bermudez,Catchweight (140 lb),"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,27,24,12,1,14,0,67.00,70.00,70.00,71.50,36.00,40.00,UFC 241,"August 17, 2019"
1068,Hannah Cifers,Jodie Esquibel,Women's Strawweight,"Decision (unanimous) (30–28, 30–27, 30–27)",3,5:00,26,32,9,3,6,5,61.00,61.00,62.00,64.00,35.00,37.00,UFC 241,"August 17, 2019"
1069,Kang Kyung-ho,Brandon Davis,Bantamweight,"Decision (split) (28–29, 29–28, 29–28)",3,5:00,-3,28,15,8,10,6,0,70.00,0,72.00,0,39.00,UFC 241,"August 17, 2019"
1070,Sabina Mazo,Shana Dobson,Women's Flyweight,"Decision (unanimous) (30–24, 30–25, 30–25)",3,5:00,22,29,6,1,3,2,67.00,66.00,70.00,69.00,40.50,38.00,UFC 241,"August 17, 2019"
1071,Valentina Shevchenko (c),Liz Carmouche,Women's Flyweight,"Decision (unanimous) (50–45, 50–45, 50–45)",5,5:00,-3,35,17,3,13,6,0,66.00,0,66.00,0,37.00,UFC Fight Night: Shevchenko vs. Carmouche 2,"August 10, 2019"
1072,Vicente Luque,Mike Perry,Welterweight,"Decision (split) (28–29, 29–28, 29–28)",3,5:00,27,27,16,6,13,4,71.00,70.00,75.50,71.00,38.00,39.00,UFC Fight Night: Shevchenko vs. Carmouche 2,"August 10, 2019"
1073,Luiz Eduardo Garagorri,Humberto Bandenay,Featherweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,-3,24,12,0,14,6,0,71.00,0,71.50,0,40.00,UFC Fight Night: Shevchenko vs. Carmouche 2,"August 10, 2019"
1074,Volkan Oezdemir,Ilir Latifi,Light Heavyweight,KO (punches),2,4:31,29,36,15,4,14,6,74.00,70.00,75.00,73.50,40.50,41.00,UFC Fight Night: Shevchenko vs. Carmouche 2,"August 10, 2019"
1075,Rodolfo Vieira,Oskar Piechota,Middleweight,Submission (arm-triangle choke),2,4:26,29,29,5,0,11,1,72.00,72.00,73.00,76.00,39.50,42.00,UFC Fight Night: Shevchenko vs. Carmouche 2,"August 10, 2019"
1076,Enrique Barzola,Bobby Moffett,Featherweight,"Decision (split) (28–29, 30–27, 29–28)",3,5:00,29,28,15,4,13,4,67.00,70.00,70.00,73.00,36.00,40.00,UFC Fight Night: Shevchenko vs. Carmouche 2,"August 10, 2019"
1077,Gilbert Burns,Alexey Kunchenko,Welterweight,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,32,34,15,3,20,0,70.00,68.00,71.00,70.00,40.00,37.00,UFC Fight Night: Shevchenko vs. Carmouche 2,"August 10, 2019"
1078,Marina Rodriguez,Tecia Torres,Women's Strawweight,"Decision (unanimous) (30–27, 30–27, 30–26)",3,5:00,31,29,11,0,10,4,66.00,61.00,65.00,60.50,38.50,35.00,UFC Fight Night: Shevchenko vs. Carmouche 2,"August 10, 2019"
1079,Rogério Bontorin,Raulian Paiva,Flyweight,TKO (doctor stoppage),1,2:56,26,23,15,1,18,2,65.00,68.00,67.00,69.50,35.50,38.00,UFC Fight Night: Shevchenko vs. Carmouche 2,"August 10, 2019"
1080,Chris Gutiérrez,Geraldo de Freitas,Bantamweight,"Decision (split) (29–28, 27–30, 29–28)",3,5:00,27,-3,13,4,12,4,69.00,0,67.00,0,39.00,0,UFC Fight Night: Shevchenko vs. Carmouche 2,"August 10, 2019"
1081,Alex da Silva Coelho,Kazula Vargas,Lightweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,-3,33,20,2,11,2,0,68.00,0,71.50,0,37.00,UFC Fight Night: Shevchenko vs. Carmouche 2,"August 10, 2019"
1082,Veronica Macedo,Polyana Viana,Women's Flyweight,Submission (armbar),1,1:09,23,26,5,3,10,3,64.00,65.00,64.00,67.00,38.00,38.50,UFC Fight Night: Shevchenko vs. Carmouche 2,"August 10, 2019"
1083,Colby Covington,Robbie Lawler,Welterweight,"Decision (unanimous) (50–44, 50–45, 50–45)",5,5:00,31,37,14,1,28,13,71.00,71.00,72.00,74.00,41.00,39.00,UFC on ESPN: Covington vs. Lawler,"August 3, 2019"
1084,Jim Miller,Clay Guida,Lightweight,Technical Submission (guillotine choke),1,0:58,35,37,30,13,35,18,68.00,67.00,71.00,70.00,40.00,38.00,UFC on ESPN: Covington vs. Lawler,"August 3, 2019"
1085,Nasrat Haqparast,Joaquim Silva,Lightweight,KO (punches),2,0:36,23,30,10,2,11,1,70.00,68.00,72.00,69.00,41.00,39.00,UFC on ESPN: Covington vs. Lawler,"August 3, 2019"
1086,Gerald Meerschaert,Trevin Giles,Middleweight,Technical Submission (guillotine choke),3,1:49,31,26,29,11,11,1,73.00,72.00,77.50,74.00,40.00,41.00,UFC on ESPN: Covington vs. Lawler,"August 3, 2019"
1087,Scott Holtzman,Dong Hyun Ma,Catchweight (158 lb),TKO (doctor stoppage),2,5:00,35,30,12,3,16,9,69.00,71.00,69.00,70.50,39.00,42.50,UFC on ESPN: Covington vs. Lawler,"August 3, 2019"
1088,Kennedy Nzechukwu,Darko Stošić,Light Heavyweight,"Decision (unanimous) (29–26, 29–26, 28–27)",3,5:00,26,27,6,1,13,2,77.00,72.00,83.00,76.00,47.00,42.00,UFC on ESPN: Covington vs. Lawler,"August 3, 2019"
1089,Mickey Gall,Salim Touahri,Welterweight,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,27,29,5,2,10,3,74.00,70.00,74.00,72.00,41.00,41.00,UFC on ESPN: Covington vs. Lawler,"August 3, 2019"
1090,Matt Schnell,Jordan Espinosa,Flyweight,Submission (triangle choke),1,1:23,29,29,13,4,14,5,68.00,66.00,70.00,69.50,38.00,38.00,UFC on ESPN: Covington vs. Lawler,"August 3, 2019"
1091,Lauren Murphy,Mara Romero Borella,Women's Flyweight,TKO (knee and elbows),3,1:46,35,32,10,4,12,5,65.00,66.00,67.00,69.00,38.00,38.00,UFC on ESPN: Covington vs. Lawler,"August 3, 2019"
1092,Miranda Granger,Hannah Goldy,Women's Flyweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,26,26,6,0,5,0,67.00,64.00,68.00,61.00,37.50,36.00,UFC on ESPN: Covington vs. Lawler,"August 3, 2019"
1093,Max Holloway (c),Frankie Edgar,Featherweight,"Decision (unanimous) (50–45, 49–46, 48–47)",5,5:00,-3,37,20,4,23,6,0,66.00,0,68.00,0,37.50,UFC 240,"July 27, 2019"
1094,Cris Cyborg,Felicia Spencer,Women's Featherweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,33,28,20,2,7,0,68.00,66.00,68.00,68.00,39.00,39.50,UFC 240,"July 27, 2019"
1095,Geoff Neal,Niko Price,Welterweight,TKO (punches),2,2:39,28,29,11,2,13,2,71.00,72.00,75.00,76.00,41.00,42.50,UFC 240,"July 27, 2019"
1096,Arman Tsarukyan,Olivier Aubin-Mercier,Lightweight,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,22,30,13,2,11,4,67.00,69.00,72.50,70.50,39.50,41.00,UFC 240,"July 27, 2019"
1097,Krzysztof Jotko,Marc-André Barriault,Middleweight,"Decision (split) (29–28, 28–29, 29–28)",3,5:00,29,29,20,4,11,2,73.00,73.00,77.00,74.00,41.00,42.50,UFC 240,"July 27, 2019"
1098,Viviane Araújo,Alexis Davis,Women's Flyweight,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,32,34,7,1,19,9,64.00,66.00,68.00,68.00,36.50,37.50,UFC 240,"July 27, 2019"
1099,Gavin Tucker,Seung Woo Choi,Featherweight,Submission (rear-naked choke),3,3:17,32,-3,10,1,7,2,66.50,0,66.00,0,38.00,0,UFC 240,"July 27, 2019"
1100,Deiveson Figueiredo,Alexandre Pantoja,Flyweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,31,28,15,1,21,3,65.00,65.00,68.00,67.00,38.00,36.50,UFC 240,"July 27, 2019"
1101,Erik Koch,Kyle Stewart,Welterweight,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00,30,30,15,6,11,2,70.00,72.00,71.50,76.50,40.00,42.00,UFC 240,"July 27, 2019"
1102,Leon Edwards,Rafael dos Anjos,Welterweight,"Decision (unanimous) (50–45, 49–46, 49–46)",5,5:00,27,34,17,3,29,11,72.00,68.00,74.00,70.00,43.00,38.00,UFC on ESPN: dos Anjos vs. Edwards,"July 20, 2019"
1103,Walt Harris,Alexey Oleynik,Heavyweight,KO (knee and punches),1,0:12,35,-3,12,7,57,12,77.00,0,77.00,0,47.00,0,UFC on ESPN: dos Anjos vs. Edwards,"July 20, 2019"
1104,Dan Hooker,James Vick,Lightweight,KO (punches),1,2:33,29,32,17,8,13,3,72.00,75.00,75.00,76.00,42.50,43.00,UFC on ESPN: dos Anjos vs. Edwards,"July 20, 2019"
1105,Alexander Hernandez,Francisco Trinaldo,Lightweight,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00,26,40,10,2,23,6,69.00,69.00,72.00,70.00,39.50,40.50,UFC on ESPN: dos Anjos vs. Edwards,"July 20, 2019"
1106,Andrei Arlovski,Ben Rothwell,Heavyweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,40,37,27,18,36,11,75.00,76.00,77.00,78.50,44.00,43.00,UFC on ESPN: dos Anjos vs. Edwards,"July 20, 2019"
1107,Alex Caceres,Steven Peterson,Featherweight,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00,30,28,14,12,17,8,70.00,70.00,73.50,70.00,41.00,39.50,UFC on ESPN: dos Anjos vs. Edwards,"July 20, 2019"
1108,Raquel Pennington,Irene Aldana,Women's Bantamweight,"Decision (split) (28–29, 29–28, 29–28)",3,5:00,30,30,9,7,10,4,67.00,69.00,67.50,68.50,37.00,38.50,UFC on ESPN: dos Anjos vs. Edwards,"July 20, 2019"
1109,Klidson Abreu,Sam Alvey,Light Heavyweight,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00,26,32,14,3,33,12,74.00,74.00,74.00,75.50,40.00,42.00,UFC on ESPN: dos Anjos vs. Edwards,"July 20, 2019"
1110,Jennifer Maia,Roxanne Modafferi,Catchweight (129 lb),"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,30,36,16,5,23,15,64.00,67.00,64.00,69.00,38.00,38.00,UFC on ESPN: dos Anjos vs. Edwards,"July 20, 2019"
1111,Felipe Colares,Domingo Pilarte,Bantamweight,"Decision (split) (29–28, 28–29, 29–28)",3,5:00,25,29,8,1,8,1,68.00,72.00,69.50,74.00,39.00,39.00,UFC on ESPN: dos Anjos vs. Edwards,"July 20, 2019"
1112,Urijah Faber,Ricky Simón,Bantamweight,TKO (punches),1,0:46,39,26,34,10,15,1,66.00,66.00,67.00,69.00,37.00,38.00,UFC Fight Night: de Randamie vs. Ladd,"July 13, 2019"
1113,Josh Emmett,Mirsad Bektić,Featherweight,TKO (punches),1,4:25,34,28,14,2,13,1,66.50,68.00,70.00,70.00,39.50,40.00,UFC Fight Night: de Randamie vs. Ladd,"July 13, 2019"
1114,Karl Roberson,Wellington Turman,Middleweight,"Decision (split) (28–29, 29–28, 29–28)",3,5:00,28,22,7,2,15,2,73.00,72.00,74.00,72.00,41.00,41.00,UFC Fight Night: de Randamie vs. Ladd,"July 13, 2019"
1115,Marvin Vettori,Cezar Ferreira,Middleweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,25,34,12,4,13,7,72.00,73.00,74.00,78.50,41.00,43.00,UFC Fight Night: de Randamie vs. Ladd,"July 13, 2019"
1116,John Allan,Mike Rodríguez,Light Heavyweight,No Contest (overturned),3,5:00,26,30,12,5,10,2,73.00,76.00,75.00,82.50,42.50,45.50,UFC Fight Night: de Randamie vs. Ladd,"July 13, 2019"
1117,Andre Fili,Sheymon Moraes,Featherweight,KO (punches),1,3:07,28,28,19,6,11,3,71.00,68.00,74.00,72.00,40.00,40.00,UFC Fight Night: de Randamie vs. Ladd,"July 13, 2019"
1118,Julianna Peña,Nicco Montaño,Women's Bantamweight,"Decision (unanimous) (29–28, 29–28, 29–27)",3,5:00,29,30,8,3,4,2,66.00,65.00,69.00,65.00,39.00,37.50,UFC Fight Night: de Randamie vs. Ladd,"July 13, 2019"
1119,Ryan Hall,Darren Elkins,Featherweight,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00,34,34,7,1,24,7,70.00,70.00,70.50,71.00,42.00,39.00,UFC Fight Night: de Randamie vs. Ladd,"July 13, 2019"
1120,Jonathan Martinez,Liu Pingyuan,Bantamweight,KO (knee),3,3:54,25,26,10,2,13,5,68.00,66.00,70.00,72.00,37.50,37.50,UFC Fight Night: de Randamie vs. Ladd,"July 13, 2019"
1121,Brianna Van Buren,Lívia Renata Souza,Women's Strawweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,25,-3,6,2,13,1,60.00,0,62.00,0,34.50,0,UFC Fight Night: de Randamie vs. Ladd,"July 13, 2019"
1122,Benito Lopez,Vince Morales,Bantamweight,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,24,28,9,1,9,3,70.00,67.00,73.00,70.00,41.00,36.00,UFC Fight Night: de Randamie vs. Ladd,"July 13, 2019"
1123,Jon Jones (c),Thiago Santos,Light Heavyweight,"Decision (split) (47–48, 48–47, 48–47)",5,5:00,-3,35,24,1,21,6,0,74.00,0,76.00,0,42.50,UFC 239,"July 6, 2019"
1124,Amanda Nunes (c),Holly Holm,Women's Bantamweight,TKO (head kick and punches),1,4:10,-3,37,17,4,12,4,0,68.00,0,69.00,0,38.00,UFC 239,"July 6, 2019"
1125,Jan Błachowicz,Luke Rockhold,Light Heavyweight,KO (punches),2,1:39,-3,34,23,8,16,4,0,75.00,0,77.00,0,45.00,UFC 239,"July 6, 2019"
1126,Michael Chiesa,Diego Sanchez,Welterweight,"Decision (unanimous) (30–26, 30–26, 30–26)",3,5:00,31,37,15,4,29,11,73.00,70.00,75.50,72.50,43.00,40.00,UFC 239,"July 6, 2019"
1127,Arnold Allen,Gilbert Melendez,Featherweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,25,36,14,1,22,7,68.00,69.00,70.00,73.00,39.00,40.00,UFC 239,"July 6, 2019"
1128,Cláudia Gadelha,Randa Markos,Women's Strawweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,30,33,16,4,9,6,64.00,64.00,63.50,63.50,32.00,39.00,UFC 239,"July 6, 2019"
1129,Song Yadong,Alejandro Pérez,Bantamweight,KO (punch),1,2:04,21,29,14,4,21,7,68.00,66.00,67.00,67.00,38.00,36.50,UFC 239,"July 6, 2019"
1130,Edmen Shahbazyan,Jack Marshman,Middleweight,Submission (rear-naked choke),1,1:12,21,29,9,0,23,8,74.00,72.00,74.00,73.00,42.00,39.00,UFC 239,"July 6, 2019"
1131,Chance Rencountre,Ismail Naurdiev,Welterweight,"Decision (unanimous) (29–27, 29–28, 30–27)",3,5:00,32,22,13,3,18,2,74.00,72.00,75.00,74.00,42.00,40.50,UFC 239,"July 6, 2019"
1132,Julia Avila,Pannie Kianzad,Women's Bantamweight,"Decision (unanimous) (30–27, 30–26, 30–26)",3,5:00,30,27,6,1,11,4,67.00,67.00,68.00,68.00,38.00,39.00,UFC 239,"July 6, 2019"
1133,Francis Ngannou,Junior dos Santos,Heavyweight,TKO (punches),1,1:11,32,35,13,3,21,5,76.00,76.00,83.00,77.00,44.50,41.00,UFC on ESPN: Ngannou vs. dos Santos,"June 29, 2019"
1134,Joseph Benavidez,Jussier Formiga,Flyweight,TKO (head kick and punches),2,4:47,34,33,27,5,23,5,64.00,65.00,65.00,67.00,36.00,37.00,UFC on ESPN: Ngannou vs. dos Santos,"June 29, 2019"
1135,Demian Maia,Anthony Rocco Martin,Welterweight,"Decision (majority) (29–28, 29–28, 28–28)",3,5:00,41,29,26,9,16,4,73.00,72.00,72.00,73.50,42.50,41.00,UFC on ESPN: Ngannou vs. dos Santos,"June 29, 2019"
1136,Vinc Pichel,Roosevelt Roberts,Lightweight,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,36,25,11,2,8,0,70.00,74.00,72.00,73.00,40.50,41.00,UFC on ESPN: Ngannou vs. dos Santos,"June 29, 2019"
1137,Drew Dober,Polo Reyes,Lightweight,KO (punches),1,1:07,30,-3,20,9,8,5,68.00,0,70.00,0,35.00,0,UFC on ESPN: Ngannou vs. dos Santos,"June 29, 2019"
1138,Alonzo Menifield,Paul Craig,Light Heavyweight,KO (punches),1,3:19,31,31,8,0,11,3,72.00,75.50,76.00,76.00,41.00,43.00,UFC on ESPN: Ngannou vs. dos Santos,"June 29, 2019"
1139,Ricardo Ramos,Journey Newson,Bantamweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,23,30,12,2,9,1,69.00,65.00,72.00,67.50,40.00,35.00,UFC on ESPN: Ngannou vs. dos Santos,"June 29, 2019"
1140,Eryk Anders,Vinicius Moreira,Light Heavyweight,KO (punches),1,1:18,32,30,11,4,9,2,73.00,76.00,75.00,76.00,43.50,43.00,UFC on ESPN: Ngannou vs. dos Santos,"June 29, 2019"
1141,Jared Gordon,Dan Moret,Lightweight,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00,30,32,14,3,13,5,69.00,72.00,68.00,73.00,38.00,42.50,UFC on ESPN: Ngannou vs. dos Santos,"June 29, 2019"
1142,Dalcha Lungiambula,Dequan Townsend,Light Heavyweight,TKO (punches and elbows),3,0:42,31,32,9,1,21,8,68.00,75.00,76.00,79.00,40.00,43.00,UFC on ESPN: Ngannou vs. dos Santos,"June 29, 2019"
1143,Amanda Ribas,Emily Whitmire,Women's Strawweight,Submission (rear-naked choke),2,2:10,25,27,6,1,4,2,64.00,65.00,66.00,63.50,37.00,38.00,UFC on ESPN: Ngannou vs. dos Santos,"June 29, 2019"
1144,Maurice Greene,Júnior Albini,Heavyweight,TKO (punches),1,3:38,32,28,7,2,14,5,79.00,75.00,82.00,74.00,46.00,42.00,UFC on ESPN: Ngannou vs. dos Santos,"June 29, 2019"
1145,Chan Sung Jung,Renato Moicano,Featherweight,TKO (punches),1,0:58,32,29,14,5,13,2,67.00,71.00,72.00,72.00,38.50,42.50,UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019"
1146,Randy Brown,Bryan Barberena,Welterweight,TKO (punches),3,2:54,28,29,10,3,14,6,75.00,72.00,78.00,72.50,45.50,39.00,UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019"
1147,Andre Ewell,Anderson dos Santos,Bantamweight,"Decision (unanimous) (29–28, 29–28, 29–27)",3,5:00,31,33,14,5,20,7,71.00,65.00,76.00,70.00,40.50,37.50,UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019"
1148,Andrea Lee,Montana De La Rosa,Women's Flyweight,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00,30,24,10,2,10,4,66.00,67.00,69.50,68.00,37.00,37.00,UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019"
1149,Kevin Holland,Alessio Di Chirico,Middleweight,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,26,29,15,4,12,2,75.00,72.00,81.00,74.00,40.00,45.00,UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019"
1150,Dan Ige,Kevin Aguilar,Featherweight,"Decision (unanimous) (29–28, 29–28, 29–27)",3,5:00,27,30,11,2,17,1,67.00,67.00,71.00,72.00,38.00,38.00,UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019"
1151,Ashley Yoder,Syuri Kondo,Women's Strawweight,"Decision (unanimous) (30–26, 30–25, 30–24)",3,5:00,31,30,6,4,6,2,67.00,64.00,69.50,66.50,37.00,40.00,UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019"
1152,Luis Peña,Matt Wiman,Lightweight,TKO (punches),3,1:14,25,35,6,1,16,7,75.00,70.00,76.00,68.00,42.50,39.00,UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019"
1153,Molly McCann,Ariane Lipski,Women's Flyweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,28,25,8,2,11,4,64.00,66.00,62.00,67.00,37.00,38.50,UFC Fight Night: Moicano vs. The Korean Zombie,"June 22, 2019"
1154,Valentina Shevchenko (c),Jessica Eye,Women's Flyweight,KO (head kick),2,0:26,-3,32,16,3,14,6,0,66.00,0,66.00,0,38.00,UFC 238,"June 8, 2019"
1155,Tony Ferguson,Donald Cerrone,Lightweight,TKO (doctor stoppage),2,5:00,35,36,24,3,36,11,71.00,73.00,76.50,73.00,40.50,40.50,UFC 238,"June 8, 2019"
1156,Petr Yan,Jimmie Rivera,Bantamweight,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00,26,29,12,1,22,3,67.50,64.00,67.00,68.50,38.00,37.00,UFC 238,"June 8, 2019"
1157,Blagoy Ivanov,Tai Tuivasa,Heavyweight,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00,32,26,17,2,9,1,71.00,74.00,73.00,75.00,42.00,39.50,UFC 238,"June 8, 2019"
1158,Tatiana Suarez,Nina Ansaroff,Women's Strawweight,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,28,33,7,0,10,5,65.00,65.00,66.00,64.00,39.00,39.00,UFC 238,"June 8, 2019"
1159,Aljamain Sterling,Pedro Munhoz,Bantamweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,29,32,17,3,18,3,67.00,66.00,71.00,64.50,39.00,36.50,UFC 238,"June 8, 2019"
1160,Alexa Grasso,Karolina Kowalkiewicz,Women's Strawweight,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00,25,33,10,2,12,4,65.00,63.00,66.00,64.00,37.50,38.00,UFC 238,"June 8, 2019"
1161,Calvin Kattar,Ricardo Lamas,Featherweight,KO (punches),1,4:06,30,36,19,3,19,7,71.00,68.00,72.00,71.00,40.00,39.00,UFC 238,"June 8, 2019"
1162,Yan Xiaonan,Angela Hill,Women's Strawweight,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,29,34,12,1,9,6,65.00,63.00,63.00,64.50,37.00,38.50,UFC 238,"June 8, 2019"
1163,Darren Stewart,Bevon Lewis,Middleweight,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00,28,27,9,4,6,1,72.00,75.00,74.00,79.00,41.50,44.00,UFC 238,"June 8, 2019"
1164,Katlyn Chookagian,Joanne Calderwood,Women's Flyweight,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00,30,33,11,2,13,3,69.00,66.00,68.00,65.50,42.00,38.50,UFC 238,"June 8, 2019"
1165,Anthony Smith,Alexander Gustafsson,Light Heavyweight,Submission (rear-naked choke),4,2:38,30,32,32,14,18,5,76.00,77.00,76.00,79.00,44.00,46.00,UFC Fight Night: Gustafsson vs. Smith,"June 1, 2019"
1166,Aleksandar Rakić,Jimi Manuwa,Light Heavyweight,KO (head kick),1,0:42,27,39,11,1,17,5,76.00,73.00,78.00,79.50,46.00,43.00,UFC Fight Night: Gustafsson vs. Smith,"June 1, 2019"
1167,Makwan Amirkhani,Chris Fishgold,Featherweight,Submission (anaconda choke),2,4:25,30,26,14,3,18,2,70.00,68.00,72.00,68.00,41.00,38.00,UFC Fight Night: Gustafsson vs. Smith,"June 1, 2019"
1168,Christos Giagos,Damir Hadžović,Lightweight,"Decision (unanimous) (29–27, 29–27, 29–28)",3,5:00,29,32,16,7,13,4,70.00,69.00,71.50,70.00,40.00,40.00,UFC Fight Night: Gustafsson vs. Smith,"June 1, 2019"
1169,Lina Länsberg,Tonya Evinger,Women's Bantamweight,"Decision (unanimous) (30–26, 30–27, 30–26)",3,5:00,37,37,8,4,19,7,67.00,67.50,65.50,70.00,39.50,39.00,UFC Fight Night: Gustafsson vs. Smith,"June 1, 2019"
1170,Leonardo Santos,Stevie Ray,Lightweight,KO (punch),1,2:17,39,28,16,3,22,8,72.00,70.00,75.00,70.00,42.00,39.00,UFC Fight Night: Gustafsson vs. Smith,"June 1, 2019"
1171,Frank Camacho,Nick Hein,Lightweight,TKO (punches),2,4:56,29,34,21,7,14,4,70.00,66.00,73.00,66.50,38.00,39.00,UFC Fight Night: Gustafsson vs. Smith,"June 1, 2019"
1172,Devin Clark,Darko Stošić,Light Heavyweight,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,29,27,9,3,13,1,72.00,72.00,75.00,76.00,41.00,42.00,UFC Fight Night: Gustafsson vs. Smith,"June 1, 2019"
1173,Rafael dos Anjos,Kevin Lee,Welterweight,Submission (arm-triangle choke),4,3:47,34,26,28,11,17,4,68.00,70.00,70.00,77.00,38.00,39.00,UFC Fight Night: dos Anjos vs. Lee,"May 18, 2019"
1174,Ian Heinisch,Antônio Carlos Júnior,Middleweight,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00,30,29,12,1,10,2,71.00,74.00,72.00,79.00,41.00,42.00,UFC Fight Night: dos Anjos vs. Lee,"May 18, 2019"
1175,Felicia Spencer,Megan Anderson,Women's Featherweight,Submission (rear-naked choke),1,3:24,28,29,6,0,9,3,66.00,72.00,68.00,72.00,39.50,43.00,UFC Fight Night: dos Anjos vs. Lee,"May 18, 2019"
1176,Vicente Luque,Derrick Krantz,Welterweight,TKO (punches),1,3:52,27,31,15,6,24,10,71.00,70.00,75.50,72.00,38.00,39.00,UFC Fight Night: dos Anjos vs. Lee,"May 18, 2019"
